id,question,answer,category
2286e3f8-656e,Dolore quis quis voluptate minim eiusmod tempor aliqua nisi quis amet.,Aliqua labore ut nostrud ipsum ut voluptate exercitation voluptate ut adipiscing.,account
3bc5f97f-bf65,Ex duis amet dolor in dolor aute consequat lorem.,Commodo ut enim labore aliquip do veniam ex veniam exercitation voluptate nisi laboris.,legal
0b21a308-5734,Incididunt ea exercitation dolor laboris lorem dolore tempor.,Dolor et amet incididunt aute dolore voluptate ad ut irure enim nostrud sit sed.,legal
b6646199-145a,Dolor ut ad ex lorem nisi et ut voluptate.,Tempor dolor tempor dolore voluptate voluptate in in do labore dolore consectetur.,legal
afbffde4-d5ac,Quis aliqua ut exercitation ut consectetur laboris quis nisi.,Aute ut ut minim consectetur voluptate reprehenderit adipiscing in.,billing
51476e86-3c9d,Ut aute aliquip ex aute magna magna ut in.,In tempor ea amet elit ex exercitation tempor quis do do nisi et.,legal
a64a1fe8-5e32,Dolore enim elit do magna reprehenderit dolor in do laboris sed sed elit reprehenderit.,Aute ad ut ut eiusmod magna ipsum aliquip dolore ut exercitation.,general
c9739495-37f8,Ut aute aute eiusmod veniam voluptate ipsum dolore ex reprehenderit sed.,Magna ut consequat ut aliqua exercitation dolor minim adipiscing consequat ut.,general
1cf8d03f-4546,Magna ut elit nostrud ut sed ut eiusmod nisi dolor commodo.,Aliquip sit ut ullamco sit ut aliquip reprehenderit exercitation adipiscing veniam ipsum elit.,support
266c47fb-4a09,Ea dolor ut aliquip reprehenderit incididunt elit irure reprehenderit.,Exercitation eiusmod ut duis veniam lorem aute eiusmod.,general
a8d3110e-e850,Ut nostrud lorem aute tempor ullamco consequat sed elit dolor et.,Duis laboris duis incididunt dolor dolor magna elit laboris.,general
8fead84e-e922,Quis in amet incididunt et dolore dolor aliqua veniam incididunt consectetur nisi tempor.,Magna do sed dolor quis voluptate minim sit aliquip exercitation ea ut.,legal
510564f9-b52c,Exercitation ad aliquip ad commodo aute eiusmod incididunt sed.,Ipsum exercitation consectetur duis commodo voluptate magna labore.,general
365bc763-6702,Incididunt ea ut ad ut lorem nisi labore aliquip exercitation ipsum elit labore.,Dolor enim enim ipsum consectetur adipiscing ut aute irure ut.,legal
85650e0b-a189,Veniam sed nisi commodo irure et reprehenderit incididunt ipsum voluptate exercitation duis.,Exercitation sed consectetur ea ut duis ut tempor sit aute et consequat.,support
4d64bb63-3976,Ea ea dolor ut ipsum enim ad sed dolor aliquip.,Ut labore ea amet voluptate minim voluptate sed ipsum dolore aute amet.,support
eeada90c-2c95,Enim ipsum minim laboris ut quis ut irure ut sed.,Minim ea laboris tempor adipiscing amet reprehenderit quis amet veniam.,general
51883a26-487a,Commodo quis elit ut irure veniam dolor ipsum irure dolor dolore sit dolore.,Nostrud nostrud consequat ut exercitation ut consequat ut laboris minim reprehenderit ex enim.,billing
b2d7692a-31cc,Ut ullamco ex enim in adipiscing irure tempor et elit dolor.,Ea aute ut ipsum enim et ut elit ea nostrud.,billing
8208fd42-cfb6,Ut amet veniam sit incididunt ut nostrud eiusmod eiusmod adipiscing enim dolor sed nisi.,Ea aliqua ea veniam eiusmod laboris sit in quis enim nostrud.,legal
71f9b0e2-9db6,Dolor amet consequat ea dolore ad laboris sit consequat irure irure.,Commodo ex laboris ut incididunt exercitation ut sed aute incididunt commodo nisi dolor.,legal
ea452afd-2db7,Lorem voluptate magna consectetur incididunt et veniam dolor ut consequat et aute.,Ipsum aliqua nostrud exercitation ut magna aliqua do elit consectetur veniam duis et magna.,support
ab89736b-44c0,Sit lorem aliquip enim aliqua voluptate sit ullamco.,Duis irure nisi in exercitation ut aliqua consequat dolore do aliqua.,account
93f3c702-7937,Ad magna veniam et voluptate quis ut amet enim nisi adipiscing aliquip voluptate.,Ea ut sit irure sit enim aliquip reprehenderit sit ullamco commodo ut dolor labore.,account
7807c947-f03f,Aliquip aliqua reprehenderit commodo incididunt ipsum dolor ex aliquip quis dolor enim.,Quis laboris incididunt aliquip ipsum enim consectetur sit ea.,support
47edc6dd-838f,Aliquip nostrud dolor aliquip laboris et elit ea.,Enim commodo aute labore sit adipiscing in adipiscing ad.,legal
c536d2ce-79d4,Aliqua ullamco do aliquip labore ullamco ex amet elit magna incididunt ex ex.,Eiusmod nisi dolore tempor minim aliqua incididunt commodo dolore ut minim reprehenderit.,account
a32e3ab5-dd13,Dolor duis labore tempor amet laboris dolore ea ex aliquip nostrud sed.,Nisi voluptate ut lorem lorem dolor magna minim nisi et.,support
407c4370-116d,Exercitation dolor nostrud irure do nostrud consectetur reprehenderit.,Duis consectetur laboris irure quis reprehenderit irure nisi.,support
4b68d94d-26c4,Ut voluptate ea nisi laboris ea tempor ea tempor dolor dolore voluptate tempor.,Tempor aliqua ad dolor exercitation elit ad adipiscing ea do ullamco dolor ut amet.,account
